instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
63,er_n8_p0.4,er,7.58,15,8,29,0.44337044890581884,0.48571428571428577,0.16228052383111133,0.12154612539204518,True
64,er_n4_p0.34,er,11.9,17,3,2,0.9942857642887228,0.0,0.0,0.0,False
65,er_n9_p0.44,er,14.63,7,9,32,0.2086644772131842,0.9369749612033815,0.2034463307395948,0.1035258081153105,True
66,mesh_3x2,mesh,4.81,16,6,14,0.0,-0.888888888888889,0.08333333333327407,0.29110362813597684,True
67,sp_sp3,sp,10.2,13,5,5,0.8446012753861187,0.8660254037844387,0.2577821011672013,0.15355366825092975,True
68,er_n7_p0.31,er,8.29,20,6,9,0.8747894655902136,0.9486832980505139,0.26804029052291856,0.16712954971987076,True
69,mesh_3x3,mesh,3.93,20,9,24,0.0,-0.4277926319464985,0.04166666666661631,0.3499271061114597,True
70,mesh_3x2,mesh,4.72,24,6,14,0.0,-0.3333333333333333,0.08333333333319314,0.4330127018914909,True
71,sp_sp9,sp,21.21,19,11,16,0.9999999627726011,0.32943922737683207,0.07861836490866546,0.12451137835217121,True
72,er_n7_p0.32,er,45.69,19,6,10,0.9999308904773572,0.0,0.0,0.0,True
73,sp_sp5,sp,7.54,18,7,9,0.0,0.2946278254943948,0.22222222222204932,0.30152692766179245,True
74,er_n7_p0.45,er,3.91,11,7,23,0.7358185597739229,0.49999999999999994,0.08332049258697861,0.2449493244445996,True
75,sp_sp6,sp,4.45,8,8,12,0.0,0.674199862463242,0.3333333333329079,0.3726779962494892,True
76,mesh_2x4,mesh,23.12,18,8,20,0.49098318230272886,0.3098386676965934,0.1355646664739464,0.04388378078973665,True
77,mesh_2x5,mesh,8.16,24,10,26,0.998455221831194,0.4296500391227069,0.2575859937916156,0.17885326709072868,True
78,er_n10_p0.41,er,13.25,13,10,36,0.49905070337816965,0.6666666666666669,0.13836877612041337,0.10637695962085118,True
79,sp_sp8,sp,5.57,19,10,14,0.0,0.5008703226778093,0.21798105487350192,0.20326142175827078,True
80,sp_sp3,sp,11.7,10,5,5,0.41859320105823616,0.0,0.0,0.0,True
81,er_n11_p0.34,er,45.78,10,10,28,0.8719233297010519,0.0,0.0,0.0,True
82,mesh_3x2,mesh,7.01,20,6,14,0.6504482958246062,0.7378647873726218,0.22714872960023347,0.07817092185137693,True
83,sp_sp5,sp,12.89,8,7,9,0.4007297654665727,0.6488856845230502,0.2561061697020146,0.1640373635148567,True
84,sp_sp5,sp,3.97,11,7,10,0.0,0.9176629354822471,0.3075515635393275,0.3281698150471412,True
85,mesh_4x3,mesh,6.83,21,12,34,0.9995193793262231,0.27783625115549687,0.12481577605425577,0.28444659467553707,True
86,sp_sp4,sp,15.0,19,6,6,0.9999999930165985,0.0,0.0,0.0,True
87,mesh_3x3,mesh,5.07,19,9,24,0.0,-0.16336600980326782,0.057196640602325294,0.29828397875563123,True
88,mesh_3x3,mesh,10.31,23,9,24,0.8095553330239544,0.16840826742715195,0.1353393769676998,0.133223806519782,True
89,sp_sp8,sp,0.56,20,10,14,0.0,-0.1669567742259364,0.08333333333226636,0.3307189138788394,True
90,sp_sp7,sp,22.68,12,9,13,0.9998994268421919,0.8621558775544281,0.0899036854738051,0.09687256223645475,True
91,sp_sp7,sp,16.02,15,9,10,0.9861244145857788,0.753778361444409,0.2845305044306997,0.17355817695025222,True
92,mesh_3x2,mesh,10.71,24,6,14,0.4401182749397261,0.5443310539518174,0.2045403461450108,0.23507298370288857,True
93,mesh_2x4,mesh,3.38,19,8,20,0.9545695519242621,0.49377071987869414,0.1959682865604974,0.16044745913395086,True
94,er_n7_p0.35,er,10.79,17,7,18,0.1997751603533044,-0.05129891760425771,0.08579500457299721,0.11215148169899736,True
95,er_n4_p0.31,er,11.6,20,4,5,0.8887858125302281,-0.9999999999999999,0.29051383399191233,0.12845849802363465,True
96,sp_sp6,sp,15.83,17,8,10,0.9999981615824345,0.7984359711335657,0.26325324180004184,0.1880755566544996,True
97,sp_sp9,sp,46.97,13,11,12,0.999999999959654,0.5261522196019802,0.1022263071895254,0.07857538436445186,True
98,mesh_3x3,mesh,15.07,19,9,24,0.06326903483265353,0.5,0.21967820739611169,0.1347326258344766,True
99,er_n4_p0.38,er,22.61,12,4,5,0.7428316569665401,0.0,0.0,0.0,True
100,sp_sp9,sp,10.15,7,11,14,0.787781124573594,-0.540777512755835,0.12660394314722614,0.12315883025841068,True
101,mesh_3x3,mesh,8.15,16,9,24,0.6442334109837766,0.3546496828075953,0.1879075423743423,0.2224783317762604,True
102,mesh_2x2,mesh,5.69,25,4,8,0.0,0.0,0.0,0.0,True
103,er_n5_p0.41,er,28.61,14,5,10,0.9987598230565342,0.0,0.0,0.0,True
104,mesh_2x4,mesh,20.54,18,8,20,0.6740883969477717,0.6572670690061994,0.17508560132721962,0.10512133900386286,True
105,er_n9_p0.37,er,13.11,16,8,25,0.999102663291892,0.12344267996967354,0.19222323570141042,0.20239333992802483,True
106,mesh_3x2,mesh,11.99,19,6,14,0.9553052730920905,0.21081851067789195,0.23401412486517228,0.12129498155884413,True
107,er_n8_p0.33,er,12.81,10,8,20,0.7308490397045608,-0.33394720739540396,0.14492076834466433,0.16140076541177442,True
108,mesh_2x4,mesh,11.54,15,8,20,0.4270630587072717,0.31311214554257477,0.19481672945019132,0.12342503952394436,True
109,er_n8_p0.3,er,12.34,11,8,18,0.1707654718573922,0.7775419143502353,0.1646070054237096,0.10629533695643467,True
110,er_n9_p0.4,er,12.58,9,8,26,0.18144155566702447,0.7650368522374495,0.19317777438861636,0.1897561757110529,True
111,sp_sp6,sp,4.28,9,8,12,0.2927472014519935,0.6120084698771954,0.33333333333288334,0.23571483445515246,True
112,mesh_2x4,mesh,5.01,24,8,20,0.0,-0.48000000000000004,0.06103286384972432,0.2554950238553078,True
113,mesh_2x2,mesh,6.68,16,4,8,0.0,0.0,0.0,0.0,True
114,sp_sp6,sp,11.09,15,8,13,0.9561882922071601,0.5561865103932622,0.1729776931014673,0.1717026176663258,True
115,er_n5_p0.38,er,15.01,15,4,6,0.998080088460526,0.0,0.0,0.0,True
116,mesh_2x4,mesh,13.58,25,8,20,0.34767427311533583,0.30192981992777096,0.2406536161117434,0.1668146502532853,True
117,er_n8_p0.38,er,10.77,17,8,20,0.9998535985149726,0.2777460299317655,0.11347517730492117,0.17365388132451295,True
118,mesh_3x3,mesh,5.35,15,9,24,0.0,-0.16336600980326782,0.0979137447404831,0.22592953230983706,True
119,sp_sp3,sp,14.76,17,5,5,0.6325053309986022,0.0,0.0,0.0,True
120,mesh_3x3,mesh,6.69,18,9,24,0.0,-0.521749194749951,0.0888888888888364,0.2309664383911979,True
121,sp_sp4,sp,26.54,17,6,5,0.9999999999906504,0.0,0.0,0.0,True
122,er_n6_p0.41,er,41.17,7,6,13,0.85304146758132,0.0,0.0,0.0,True
123,er_n7_p0.43,er,8.44,9,7,20,0.7430766207707766,0.8999999999999998,0.26238036778427043,0.16831661655899138,True
124,mesh_3x2,mesh,25.51,19,6,14,0.7686862284608837,0.0,0.0,0.0,True
125,sp_sp4,sp,1.55,6,6,8,0.44049595073038894,0.19999999999999998,0.1664245232280793,0.17512780694875882,True
126,er_n9_p0.31,er,12.92,7,8,21,0.8424100418390517,-0.12344267996967354,0.07527672450110522,0.16124567964911438,True
127,mesh_4x3,mesh,7.62,16,12,34,0.5419771826487728,0.5791405068790083,0.24403108990654812,0.19523187536643222,True
